a bit	một chút, một tí
celebration (n) /,seli'breiʃn/	sự kỷ niệm, lễ kỷ niệm; sự tán dương, sự ca tụng
cell (n) /sel/	ô, ngăn
cellphone (also cellular phone) (n) (especially NAmE)	điện thoại di động
cent /sent/	đồng xu (bằng 1/100 đô la)
cent (n) (abbr. c, ct) /sent/	đồng xu (=1/100 đô la)
centimetre /'senti,mi:tз/	xen ti mét
centimetre (BrE) (NAmE centimeter) (n) ((abbr.) cm)	xen ti met
central (adj) /´sentrəl/	trung tâm, ở giữa, trung ương
centre (BrE) (NAmE center) (n) /'sentə/	điểm giữa, trung tâm, trung ương
century (n) /'sentʃuri/	thế kỷ
ceremony (n) /´seriməni/	nghi thức, nghi lễ
certain (adj) (pronoun) /'sə:tn/	chắc chắn
certainly (adv) /´sə:tnli/	chắc chắn, nhất định
certificate (n) /sə'tifikit/	giấy chứng nhận, bằng, chứng chỉ
chain (n) (v) /tʃeɪn/	dây, xích; xính lại, trói lại
chair (n) /tʃeə/	ghế
chairman, chairwoman (n) /'tʃeəmən/	/'tʃeə,wumən/; chủ tịch, chủ tọa
challenge (n) (v) /'tʃælindʤ/	sự thử thách, sự thách thức;
chamber (n) /ˈtʃeɪmbər/	buồng, phòng, buồng ngủ
chance (n) /tʃæns , tʃɑ:ns/	sự may mắn
change (v) (n) /tʃeɪndʒ/	thay đổi, sự thay đổi, sự biến đổi
channel (n) /'tʃænl/	kênh (TV, radio), eo biển
chapter (n) /'t∫æptə(r)/	chương (sách)
character (n) /'kæriktə/	tính cách, đặc tính, nhân vật
characteristic (adj) (n) /¸kærəktə´ristik/	riêng, riêng biệt, đặc trưng, đặc tính, đặc điểm
charge (n) (v) /tʃɑ:dʤ/	nhiệm vụ, bổn phận, trách nhiệm; giao nhiệm vụ, giao việc
charity (n) /´tʃæriti/	lòng từ thiện, lòng nhân đức; sự bố thí
chart (n) (v) /tʃa:t/	đồ thị, biểu đồ; vẽ đồ thị, lập biểu đồ
chase (v) (n) /tʃeis/	săn bắt; sự săn bắt
chat (v) (n) /tʃæt/	nói chuyện, tán gẫu; chuyện phiếm, chuyện gẫu
cheap (adj) /tʃi:p/	rẻ
cheaply (adv)	rẻ, rẻ tiền
cheat (v) (n) /tʃit/	lừa, lừa đảo; trò lừa đảo, trò gian lận
check (v) (n) /tʃek/	kiểm tra; sự kiểm tra
cheek (n) /´tʃi:k/	má
cheerful (adj) /´tʃiəful/	vui mừng, phấn khởi, hồ hởi
cheerfully (adv)	vui vẻ, phấn khởi
cheese (n) /tʃi:z/	pho mát
chemical (adj) (n) /ˈkɛmɪkəl/	thuộc hóa học; chất hóa học, hóa chất
chemist (n) /´kemist/	nhà hóa học
chemist’s (n) (BrE)	nhà thuốc
chemistry (n) /´kemistri/	hóa học, môn hóa học, ngành hóa học
cheque (n) (BrE) (NAmE check) /t∫ek/	séc
chest (n) /tʃest/	tủ, rương, hòm
chew (v) /tʃu:/	nhai, ngẫm nghĩ
chicken (n) /ˈtʃɪkin/	gà, gà con, thịt gà
chief (adj) (n) /tʃi:f/	trọng yếu, chính yếu; thủ lĩnh, lãnh tụ, người đứng đầu, xếp
child (n) /tʃaild/	đứa bé, đứa trẻ
chin (n) /tʃin/	cằm
chip (n) /tʃip/	vỏ bào, mảnh vỡ, chỗ sứt, mẻ
chocolate (n) /ˈtʃɒklɪt/	sô cô la
choice (n) /tʃɔɪs/	sự lựa chọn
choose (v) /t∫u:z/	chọn, lựa chọn
chop (v) /tʃɔp/	chặt, đốn, chẻ
church (n) /tʃə:tʃ/	nhà thờ
cigarette (n) /¸sigə´ret/	điếu thuốc lá
cinema (n) (especially BrE) /ˈsɪnəmə/	rạp xi nê, rạp chiếu bóng
circle (n) /'sə:kl/	đường tròn, hình tròn
circumstance (n) /ˈsɜrkəmˌstæns , ˈsɜrkəmˌstəns/	hoàn cảnh, trường hợp, tình huống
citizen (n) /´sitizən/	người thành thị
city (n) /'si:ti/	thành phố
civil (adj) /'sivl/	(thuộc) công dân
claim (v) (n) /kleim/	đòi hỏi, yêu sách; sự đòi hỏi, sự yêu sách, sự thỉnh cầu
clap (v) (n) /klæp/	vỗ, vỗ tay; tiếng nổ, tiếng vỗ tay
class (n) /klɑ:s/	lớp học
classic (adj) (n) /'klæsik/	cổ điển, kinh điển
classroom (n) /'klα:si/	lớp học, phòng học
clean (adj) (v) /kli:n/	sạch, sạch sẽ;
clear (adj) (v)	lau chùi, quét dọn
clearly (adv) /´kliəli/	rõ ràng, sáng sủa
clerk (n) /kla:k/	thư ký, linh mục, mục sư
clever (adj) /'klevə/	lanh lợi, thông minh. tài giỏi, khéo léo
click (v) (n) /klik/	làm thành tiếng lách cách; tiếng lách cách, cú nhắp (chuột)
client (n) /´klaiənt/	khách hàng
climate (n) /'klaimit/	khí hậu, thời tiết
climb (v) /klaim/	leo, trèo
climbing (n) /´klaimiη/	sự leo trèo
clock (n) /klɔk/	đồng hồ
close NAmE (v)	đóng, khép, kết thúc, chấm dứt
close NAmE (adj) /klouz/	đóng kín, chật chội, che đậy
closed (adj) /klouzd/	bảo thủ, không cởi mở, khép kín
closely (adv) /´klousli/	chặt chẽ, kỹ lưỡng, tỉ mỉ
closet (n) (especially NAmE) /'klozit/	buồng, phòng để đồ, phòng kho
cloth (n) /klɔθ/	vải, khăn trải bàn, áo thầy tu
clothes (n) /klouðz/	quần áo
clothing (n) /´klouðiη/	quần áo, y phục
cloud (n) /klaud/	mây, đám mây
club (n) /´klʌb/	câu lạc bộ; gậy, dùi cui
coach (n) /koʊtʃ/	huấn luyện viên
coal (n) /koul/	than đá
coast (n) /koust/	sự lao dốc; bờ biển
coat (n) /koʊt/	áo choàng
code (n) /koud/	mật mã, luật, điều lệ
coffee (n) /'kɔfi/	cà phê
coin (n) /kɔin/	tiền kim loại
cold (adj) (n) /kould/	lạnh, sự lạnh lẽo, lạnh nhạt
coldly (adv) /'kouldli/	lạnh nhạt, hờ hững, vô tâm
collapse (v) (n) /kз'læps/	đổ, sụp đổ; sự đổ nát, sự sụp đổ
colleague (n) /ˈkɒlig/	bạn đồng nghiệp
collect (v) /kə´lekt/	sưu tập, tập trung lại
collection (n) /kəˈlɛkʃən/	sự sưu tập, sự tụ họp
college (n) /'kɔlidʤ/	trường cao đẳng, trường đại học
colour (BrE) (NAmE color) (n) (v) /'kʌlə/	màu sắc; tô màu
coloured (BrE) (NAmE colored) (adj) /´kʌləd/	mang màu sắc, có màu sắc
column (n) /'kɔləm/	cột , mục (báo)
combination (n) /,kɔmbi'neiʃn/	sự kết hợp, sự phối hợp
combine (v) /'kɔmbain/	kết hợp, phối hợp
come (v) /kʌm/	đến, tới, đi đến, đi tới
comedy (n) /´kɔmidi/	hài kịch
comfort (n) (v) /'kΔmfзt/	sự an ủi, khuyên giải, lời động viên, sự an nhàn; dỗ dành, an ủi
comfortable (adj) /'kΔmfзtзbl/	thoải mái, tiện nghi, đầy đủ
comfortably (adv) /´kʌmfətəbli/	dễ chịu, thoải mái, tiện nghi, ấm cúng
command (v) (n) /kə'mɑ:nd/	ra lệnh, chỉ huy; lệnh, mệnh lệnh, quyền ra lệnh, quyền chỉ huy
comment (n) (v) /ˈkɒment/	lời bình luận, lời chú giải; bình luận, phê bình, chú thích, dẫn giải
commercial (adj) /kə'mə:ʃl/	buôn bán, thương mại
commission (n) (v) /kəˈmɪʃən/	hội đồng, ủy ban, sự ủy nhiệm, sự ủy thác; ủy nhiệm, ủy thác
commit (v) /kə'mit/	giao, gửi, ủy nhiệm, ủy thác; tống giam, bỏ tù
commitment (n) /kə'mmənt/	sự phạm tội, sự tận tụy, tận tâm
committee (n) /kə'miti/	ủy ban
common (adj) /'kɔmən/	công, công cộng, thông thường, phổ biến
commonly (adv) /´kɔmənli/	thông thường, bình thường
communicate (v) /kə'mju:nikeit/	truyền, truyền đạt; giao thiệp, liên lạc
communication (n) /kə,mju:ni'keiʃn/	sự giao tiếp, liên lạc, sự truyền đạt, truyền tin
community (n) /kə'mju:niti/	dân chúng, nhân dân
company (n) /´kʌmpəni/	công ty
compare (v) /kәm'peә(r)/	so sánh, đối chiếu
comparison (n) /kəm'pærisn/	sự so sánh
compete (v) /kəm'pi:t/	đua tranh, ganh đua, cạnh tranh
competition (n) /,kɔmpi'tiʃn/	sự cạnh tranh, cuộc thi, cuộc thi đấu
competitive (adj) /kəm´petitiv/	cạnh tranh, đua tranh
complain (v) /kəm´plein/	phàn nàn, kêu ca
complaint (n) /kəmˈpleɪnt/	lời than phiền, than thở; sự khiếu nại, đơn kiện
complete (adj) (v) /kəm'pli:t/	hoàn thành, xong;
completely (adv) /kзm'pli:tli/	hoàn thành, đầy đủ, trọn vẹn
complex (adj) /'kɔmleks/	phức tạp, rắc rối
complicate (v) /'komplikeit/	làm phức tạp, rắc rối
complicated (adj) /'komplikeitid/	phức tạp, rắc rối
computer (n) /kəm'pju:tə/	máy tính
concentrate (v) /'kɔnsentreit/	tập trung
concentration (n) /,kɒnsn'trei∫n/	sự tập trung, nơi tập trung
concept (n) /ˈkɒnsept/	khái niệm
concern (v) (n) /kәn'sз:n/	liên quan, dính líu tới; sự liên quan, sự dính líu tới
concerned (adj) /kən´sə:nd/	có liên quan, có dính líu
concerning (prep.) /kən´sə:niη/	bâng khuâng, ái ngại
concert (n) /kən'sə:t/	buổi hòa nhạc
conclude (v) /kənˈklud/	kết luận, kết thúc, chấm dứt (công việc)
conclusion (n) /kənˈkluʒən/	sự kết thúc, sự kết luận, phần kết luận
concrete (adj) (n) /'kɔnkri:t/	bằng bê tông; bê tông
condition (n) /kәn'di∫әn/	điều kiện, tình cảnh, tình thế
conduct (v) (n) /'kɔndʌkt/or/kən'dʌkt/	điều khiển, chỉ đạo, chỉ huy; sự điều khiển, chỉ huy
conference (n) /ˈkɒnfərəns , ˈkɒnfrəns/	hội nghị, sự bàn bạc
confidence (n) /'konfid(ә)ns/	lòng tin tưởng, sự tin cậy
confident (adj) /'kɔnfidənt/	tin tưởng, tin cậy, tự tin
confidently (adv) /'kɔnfidəntli/	tự tin
confine (v) /kən'fain/	giam giữ, hạn chế
confined (adj) /kən'faind/	hạn chế, giới hạn
confirm (v) /kən'fə:m/	xác nhận, chứng thực
conflict (n) (v) /	(v) kənˈflɪkt ; (n) ˈkɒnflɪkt/; xung đột, va chạm; sự xung đột, sự va chạm
confront (v) /kən'frʌnt/	đối mặt, đối diện, đối chiếu
confuse (v)	làm lộn xộn, xáo trộn
confused (adj) /kən'fju:zd/	bối rối, lúng túng, ngượng
confusing (adj) /kən'fju:ziη/	khó hiểu, gây bối rối
confusion (n) /kən'fju:ʒn/	sự lộn xộn, sự rối loạn
congratulations (n) /kən,grætju'lei∫n/	sự chúc mừng, khen ngợi; lời chúc mừng, khen ngợi
congress (n) /'kɔɳgres/	đại hội, hội nghị, Quốc hội
connect (v) /kə'nekt/	kết nối, nối
connection (n) /kə´nekʃən,/	sự kết nối, sự giao kết
conscious (adj) /ˈkɒnʃəs/	tỉnh táo, có ý thức, biết rõ
consequence (n) /'kɔnsikwəns/	kết quả, hậu quả
conservative (adj) /kən´sə:vətiv/	thận trọng, dè dặt, bảo thủ
consider (v) /kən´sidə/	cân nhắc, xem xét; để ý, quan tâm, lưu ý đến
considerable (adj) /kən'sidərəbl/	lớn lao, to tát, đáng kể
considerably (adv) /kən'sidərəbly/	đáng kể, lớn lao, nhiều
consideration (n) /kənsidə'reiʃn/	sự cân nhắc, sự xem xét, sự để ý, sự quan tâm
consist of (v) /kən'sist/	gồm có
constant (adj) /'kɔnstənt/	kiên trì, bền lòng
constantly (adv) /'kɔnstəntli/	kiên định
construct (v) /kən´strʌkt/	xây dựng
construction (n) /kən'strʌkʃn/	sự xây dựng
consult (v) /kən'sʌlt/	tra cứu, tham khảo, thăm dò, hỏi ý kiến
consumer (n) /kən'sju:mə/	người tiêu dùng
contact (n) (v) /ˈkɒntækt/	sự liên lạc, sự giao thiệp; tiếp xúc
contain (v) /kәn'tein/	bao hàm, chứa đựng, bao gồm
container (n) /kən'teinə/	cái đựng, chứa; công te nơ
contemporary (adj) /kən'tempərəri/	đương thời, đương đại
content (n) /kən'tent/	nội dung, sự hài lòng
contest (n) /kən´test/	cuộc thi, trận đấu, cuộc tranh luận, cuộc chiến đấu, chiến tranh
context (n) /'kɔntekst/	văn cảnh, khung cảnh, phạm vi
continent (n) /'kɔntinənt/	lục địa, đại lục (lục địa Bắc Mỹ)
continue (v) /kən´tinju:/	tiếp tục, làm tiếp
continuous (adj) /kən'tinjuəs/	liên tục, liên tiếp
continuously (adv) /kən'tinjuəsli/	liên tục, liên tiếp
contract (n) (v) /'kɔntrækt/	hợp đồng, sự ký hợp đồng; ký kết
contrast (n) (v) /kən'træst/	or /'kɔntræst /; sự tương phản; làm tương phản, làm trái ngược
contrasting (adj) /kən'træsti/	tương phản
contribute (v) /kən'tribju:t/	đóng góp, ghóp phần
contribution (n) /¸kɔntri´bju:ʃən/	sự đóng góp, sự góp phần
control (n) (v) s /kən'troul/	sự điều khiển, quyền hành, quyền lực, quyền chỉ huy
controlled (adj) /kən'trould/	được điều khiển, được kiểm tra
convenient (adj) /kən´vi:njənt/	tiện lợi, thuận lợi, thích hợp
convention (n) /kən'ven∫n/	hội nghị, hiệp định, quy ước
conventional (adj) /kən'ven∫ənl/	quy ước
conversation (n) /,kɔnvə'seiʃn/	cuộc đàm thoại, cuộc trò chuyện
convert (v) /kən'və:t/	đổi, biến đổi
convince (v) /kən'vins/	làm cho tin, thuyết phục; làm cho nhận thức thấy
cook (v) (n) /kʊk/	nấu ăn, người nấu ăn
cooker (n) (BrE) /´kukə/	lò, bếp, nồi nấu
cookie (n) (especially NAmE) /´kuki/	bánh quy
cooking (n) /kʊkiɳ/	sự nấu ăn, cách nấu ăn
cool (adj) (v) /ku:l/	mát mẻ, điềm tĩnh; làm mát,
cope (with) (v) /koup/	đối phó, đương đầu
copy (n) (v) /'kɔpi/	bản sao, bản chép lại; sự sao chép; sao chép, bắt chước
core (n) /kɔ:/	nòng cốt, hạt nhân; đáy lòng
corner (n) /´kɔ:nə/	góc (tường, nhà, phố...)
correct (adj) (v) /kə´rekt/	đúng, chính xác; sửa, sửa chữa
correctly (adv) /kə´rektli/	đúng, chính xác
cost (n) (v) /kɔst , kɒst/	giá, chi phí; trả giá, phải trả
cottage (n) /'kɔtidʤ/	nhà tranh
cotton (n) /ˈkɒtn/	bông, chỉ, sợi
cough (v) (n) /kɔf/	ho, sự ho, tiếng hoa
coughing (n) /´kɔfiη/	ho
could /kud/	có thể, có khả năng
could modal (v) /kud/	có thể
council (n) /kaunsl/	hội đồng
count (v) /kaunt/	đếm, tính
counter (n) /ˈkaʊntər/	quầy hàng, quầy thu tiền, máy đếm
country (n) /ˈkʌntri/	nước, quốc gia, đất nước
countryside (n)/'kʌntri'said/	miền quê, miền nông thôn
county (n) /koun'ti/	hạt, tỉnh
couple (n) /'kʌpl/	đôi, cặp; đôi vợ chồng, cặp nam nữ
courage (n) /'kʌridʤ/	sự can đảm, sự dũng cảm, dũng khí
course (n) /kɔ:s/	tiến trình, quá trình diễn tiến; sân chạy đua
court (n) /kɔrt , koʊrt/	sân, sân (tennis...), tòa án, quan tòa, phiên tòa
cousin (n) /ˈkʌzən/	anh em họ
cover (v) (n) /'kʌvə/	bao bọc, che phủ; vỏ, vỏ bọc
covered (adj) /'kʌvərd/	có mái che, kín đáo
covering (n) /´kʌvəriη/	sự bao bọc, sự che phủ, cái bao, bọc
cow (n) /kaʊ/	con bò cái
crack (n) (v) /kræk/	cừ, xuất sắc; làm nứt, làm vỡ, nứt nẻ, rạn nứt
cracked (adj) /krækt/	rạn, nứt
craft (n) /kra:ft/	nghề, nghề thủ công
crash (n) (v) /kræʃ/	vải thô; sự rơi (máy bay), sự phá sản, sụp đổ; phá tan tành, phá vụn
crazy (adj) /'kreizi/	điên, mất trí
cream (n) /kri:m/	kem
create (v) /kri:'eit/	sáng tạo, tạo nên
creature (n) /'kri:tʃə/	sinh vật, loài vật
credit (n) /ˈkrɛdɪt/	sự tin, lòng tin, danh tiếng; tiền gửi ngân hàng
credit card (n)	thẻ tín dụng
crime (n) /kraim/	tội, tội ác, tội phạm
criminal (adj) (n) /ˈkrɪmənl/	có tội, phạm tội; kẻ phạm tội, tội phạm
crisis (n) /ˈkraɪsɪs/	sự khủng hoảng, cơn khủng hoảng
crisp (adj) /krips/	giòn
criterion (n) /kraɪˈtɪəriən/	tiêu chuẩn
critical (adj) /ˈkrɪtɪkəl/	phê bình, phê phán; khó tính
criticism (n) /´kriti¸sizəm/	sự phê bình, sự phê phán, lời phê bình, lời phê phán
criticize (BrE also –ise) (v) /ˈkrɪtəˌsaɪz/	phê bình, phê phán, chỉ trích
crop (n) /krop/	vụ mùa
cross (n) (v) /krɔs/	cây Thánh Giá, nỗi thống khổ; sự băng qua; băng qua, vượt qua
crowd (n) /kraud/	đám đông
crowded (adj) /kraudid/	đông đúc
crown (n) /kraun/	vương miện, vua, ngai vàng; đỉnh cao nhất
crucial (adj) /´kru:ʃəl/	quyết định, cốt yếu, chủ yếu
cruel (adj) /'kru:ә(l)/	độc ác, dữ tợn, tàn nhẫn
crush (v) /krᴧ∫/	ép, vắt, đè nát, đè bẹp
cry (v) (n) /krai/	khóc, kêu la; sự khóc, tiếng khóc, sự kêu la
cultural (adj) /ˈkʌltʃərəl/	(thuộc) văn hóa
culture (n) /ˈkʌltʃər/	văn hóa, sự mở mang, sự giáo dục
cup (n) /kʌp/	tách, chén
cupboard (n) /'kʌpbəd/	1 loại tủ có ngăn
curb (v) /kə:b/	kiềm chế, nén lại, hạn chế
cure (v) (n) /kjuə/	chữa trị, điều trị; cách chữa bệnh, cách điều trị; thuốc
curious (adj) /'kjuəriəs/	ham muốn, tò mò, lạ lùng
curiously (adv) /'kjuəriəsli/	tò mò, hiếu kỳ, lạ kỳ
curl (v) (n) /kə:l/	quăn, xoắn, uốn quăn, làm xoắn; sự uốn quăn
curly (adj) /´kə:li/	quăn, xoắn
current (adj) (n) /'kʌrənt/	hiện hành, phổ biến, hiện nay; dòng (nước), luống (gió)
currently (adv) /'kʌrəntli/	hiện thời, hiện nay
curtain (n) /'kə:tn/	màn (cửa, rạp hát, khói, sương)
curve (n) (v) /kə:v/	đường cong, đường vòng; cong, uốn cong, bẻ cong
curved (adj) /kə:vd/	cong
custom (n) /'kʌstəm/	phong tục, tục lệ, thói quen, tập quán
customer (n) /´kʌstəmə/	khách hàng
customs (n) /´kʌstəmz/	thuế nhập khẩu, hải quan
cut (v) (n) /kʌt/	cắt, chặt; sự cắt
cycle (n) (v) /'saikl/	chu kỳ, chu trình, vòng; quay vòng theo chu kỳ, đi xe đạp
cycling (n) /'saikliŋ/	sự đi xe đạp
dad (n) /dæd/	bố, cha
daily (adj) /'deili/	hàng ngày
damage (n) (v) /'dæmidʤ/	mối hạn, điều hại, sự thiệt hại; làm hư hại, làm hỏng, gây thiệt hại
damp (adj) /dæmp/	ẩm, ẩm ướt, ẩm thấp
dance (n) (v) /dɑ:ns/	sự nhảy múa, sự khiêu vũ; nhảy múa, khiêu vũ
dancer (n) /'dɑ:nsə/	diễn viên múa, người nhảy múa
dancing (n) /'dɑ:nsiɳ/	sự nhảy múa, sự khiêu vũ
danger (n) /'deindʤə/	sự nguy hiểm, mối hiểm nghèo; nguy cơ, mối đe dọa
dangerous (adj) /´deindʒərəs/	nguy hiểm
dare (v) /deər/	dám, dám đương đầu với; thách
dark (adj) (n) /dɑ:k/	tối, tối tăm; bóng tối, ám muội
data (n) /´deitə/	số liệu, dữ liệu
date (n) (v) /deit/	ngày, kỳ, kỳ hạn, thời kỳ, thời đại; đề ngày tháng, ghi niên hiệu
daughter (n) /ˈdɔtər/	con gái
day (n) /dei/	ngày, ban ngày
dead (adj) /ded/	chết, tắt
deaf (adj) /def/	điếc, làm thinh, làm ngơ
deal (v) (n) /di:l/	phân phát, phân phối; sự giao dịch, thỏa thuận mua bán
deal with	giải quyết
dear (adj) /diə/	thân, thân yêu, thân mến; kính thưa, thưa
death (n) /deθ/	sự chết, cái chết
debate (n) (v) /dɪˈbeɪt/	cuộc tranh luận, cuộc tranh cãi; tranh luận, bàn cãi
debt (n) /det/	nợ
decade (n) /'dekeid/	thập kỷ, bộ mười, nhóm mười
decay (n) (v) /di'kei/	tình trạng suy tàn, suy sụp, tình trạng đổ nát
December (n) (abbr. Dec.) /di'sembə/	tháng mười hai, tháng Chạp
decide (v) /di'said/	quyết định, giải quyết, phân xử
decision (n) /diˈsiʒn/	sự quyết định, sự giải quyết, sự phân xử
declare (v) /di'kleə/	tuyên bố, công bố
decline (n) (v) /di'klain/	sự suy tàn, sự suy sụp; suy sụp, suy tàn
decorate (v) /´dekə¸reit/	trang hoàng, trang trí
decoration (n) /¸dekə´reiʃən/	sự trang hoàng, đồ trang hoàng, trang trí
decorative (adj) /´dekərətiv/	để trang hoàng, để trang trí, để làm cảnh
decrease (v) (n) /	'di:kri:s/; giảm bớt, làm suy giảm, sự giảm đi, sự giảm sút
deep (adj) (adv) /di:p/	sâu, khó lường, bí ẩn
deeply (adv) /´di:pli/	sâu, sâu xa, sâu sắc
defeat (v) (n) /di'fi:t/	đánh thắng, đánh bại; sự thất bại (1 kế hoạch), sự tiêu tan (hy vọng..)
defence (BrE) (NAmE defense) (n) /di'fens/	cái để bảo vệ, vật để chống đỡ, sự che chở
defend (v) /di'fend/	che chở, bảo vệ, bào chữa
define (v) /di'fain/	định nghĩa
definite (adj) /dә'finit/	xác định, định rõ, rõ ràng
definitely (adv) /'definitli/	rạch ròi, dứt khoát
definition (n) /defini∫n/	sự định nghĩa, lời định nghĩa
degree (n) /dɪˈgri:/	mức độ, trình độ; bằng cấp; độ
delay (n) (v) /dɪˈleɪ/	sự chậm trễ, sự trì hoãn, sự cản trở; làm chậm trễ
deliberate (adj) /di'libәreit/	thận trọng, có tính toán, chủ tâm, có suy nghĩ cân nhắc
deliberately (adv) /di´libəritli/	thận trọng, có suy nghĩ cân nhắc
delicate (adj) /'delikeit/	thanh nhã, thanh tú, tế nhị, khó xử
delight (n) (v) /di'lait/	sự vui thích, sự vui sướng, điều thích thú; làm vui thích, làm say mê
delighted (adj) /di'laitid/	vui mừng, hài lòng
deliver (v) /di'livə/	cứu khỏi, thoát khỏi, bày tỏ, giãi bày
delivery (n) /di'livəri/	sự phân phát, sự phân phối, sự giao hàng; sự bày tỏ, phát biếu
demand (n) (v) /dɪ.ˈmænd/	sự đòi hỏi, sự yêu cầu; đòi hỏi, yêu cầu
demonstrate (v) /ˈdɛmənˌstreɪt/	chứng minh, giải thích; bày tỏ, biểu lộ
dentist (n) /'dentist/	nha sĩ
deny (v) /di'nai/	từ chối, phản đối, phủ nhận
department (n) /di'pɑ:tmənt/	cục, sở, ty, ban, khoa; gian hàng, khu bày hàng
departure (n) /di'pɑ:tʃə/	sự rời khỏi, sự đi, sự khởi hành
depend (on) (v) /di'pend/	phụ thuộc, tùy thuộc; dựa vào, ỷ vào, trông mong vào
deposit (n) (v) /dɪˈpɒzɪt/	vật gửi, tiền gửi, tiền đặt cọc; gửi, đặt cọc
depress (v) /di´pres/	làm chán nản, làm phiền muộn; làm suy giảm
depressed (adj) /di–'prest/	chán nản, thất vọng, phiền muộn; suy yếu, đình trệ
depressing (adj) /di'presiη/	làm chán nản làm thát vọng, làm trì trệ
depth (n) /depθ/	chiều sâu, độ dày
derive (v) /di´raiv/	nhận được từ, lấy được từ; xuất phát từ, bắt nguồn, chuyển hóa từ (from)
describe (v) /dɪˈskraɪb/	diễn tả, miêu tả, mô tả
description (n) /dɪˈskrɪpʃən/	sự mô tả, sự tả, sự miêu tả
desert (n) (v) /ˈdɛzərt/	sa mạc; công lao, giá trị; rời bỏ, bỏ trốn
deserted (adj) /di'zз:tid/	hoang vắng, không người ở
deserve (v) /di'zз:v/	đáng, xứng đáng
design (n) (v) /di´zain/	sự thiết kế, kế hoạch, đề cương. phác thảo; phác họa, thiết kế
desire (n) (v) /di'zaiə/	ước muốn; thèm muốn, ao ước
desk (n) /desk/	bàn (học sinh, viết, làm việc)
desperate (adj) /'despərit/	liều mạng, liều lĩnh; tuyệt vọng
desperately (adv) /'despəritli/	liều lĩnh, liều mạng
despite (prep.) /dis'pait/	dù, mặc dù, bất chấp
destroy (v) /dis'trɔi/	phá, phá hoại, phá huỷ, tiêu diệt, triệt phá
destruction (n) /dis'trʌk∫n/	sự phá hoại, sự phá hủy, sự tiêu diệt
detail (n) /(n) dɪˈteɪl , ˈditeɪl	(v) dɪˈteɪl/; chi tiết
detailed (adj) /'di:teild/	cặn kẽ, tỉ mỉ, nhiều chi tiết
determination (n) /di,tə:mi'neiʃn/	sự xác định, sự định rõ; sự quyết định
determine (v) /di'tз:min/	xác định, định rõ; quyết định
determined (adj) /di´tə:mind/	đã được xác định, đã được xác định rõ
develop (v) /di'veləp/	phát triển, mở rộng; trình bày, bày tỏ
development (n) /di’velәpmәnt/	sự phát triển, sự trình bày, sự bày tỏ
device (n) /di'vais/	kế sách; thiết bị, dụng cụ, máy móc
devote (v) /di'vout/	hiến dâng, dành hết cho
devoted (adj) /di´voutid/	hiến cho, dâng cho, dành cho; hết lòng, nhiệt tình
diagram (n) /ˈdaɪəˌgræm/	biểu đồ
diamond (n) /´daiəmənd/	kim cương
diary (n) /'daiəri/	sổ nhật ký; lịch ghi nhớ
dictionary (n) /'dikʃənəri/	từ điển
die (v) /daɪ/	chết, từ trần, hy sinh
diet (n) /'daiət/	chế độ ăn uống, chế độ ăn kiêng
difference (n) /ˈdɪfərəns , ˈdɪfrəns/	sự khác nhau
different (adj) /'difrзnt/	khác, khác biệt, khác nhau
differently (adv) /'difrзntli/	khác, khác biệt, khác nhau
difficult (adj) /'difik(ə)lt/	khó, khó khăn, gay go
difficulty (n) /'difikəlti/	sự khó khăn, nỗi khó khăn, điều cản trở
dig (v) /dɪg/	đào bới, xới
dinner (n) /'dinə/	bữa trưa, chiều
direct (adj) (v) /di'rekt	dai'rekt/; trực tiếp, thẳng, thẳng thắn; gửi, viết cho ai, điều khiển
direction (n) /di'rek∫n/	sự điều khiển, sự chỉ huy
directly (adv) /dai´rektli/	trực tiếp, thẳng
director (n) /di'rektə/	giám đốc, người điều khiển, chỉ huy
dirt (n) /də:t/	đồ bẩn thỉu, đồ dơ bẩn, vật rác rưởi
dirty (adj) /´də:ti/	bẩn thỉu, dơ bẩn
disabled (adj) /dis´eibld/	bất lực, không có khă năng
disadvantage (n) /ˌdɪsədˈvæntɪdʒ , ˌdɪsədˈvɑntɪdʒ/	sự bất lợi, sự thiệt hại
disagree (v) /¸disə´gri:/	bất đồng, không đồng ý, khác, không giống; không hợp
disagreement (n) /¸disəg´ri:mənt/	sự bất đồng, sự không đồng ý, sự khác nhau
disappear (v) /disə'piə/	biến mất, biến đi
disappoint (v) /ˌdɪsəˈpɔɪnt/	không làm thỏa ước nguyện, ý mong đợi; thất ước, làm thất bại
disappointed (adj) /,disз'pointid/	thất vọng
disappointing (adj) /¸disə´pɔintiη/	làm chán ngán, làm thất vọng
disappointment (n) /¸disə´pɔintmənt/	sự chán ngán, sự thất vọng
disapproval (n) /¸disə´pru:vl/	sự phản đổi, sự không tán thành
disapprove (of) (v) /¸disə´pru:v/	không tán thành, phản đối, chê
disapproving (adj) /¸disə´pru:viη/	phản đối
disaster (n) /di'zɑ:stə/	tai họa, thảm họa
disc (also disk, especially in NAmE) (n) /disk/	đĩa
discipline (n) /'disiplin/	kỷ luật
discount (n) /'diskaunt/	sự bớt giá, sự chiết khấu, tiền bớt, chiết khấu
discover (v) /dis'kʌvə/	khám phá, phát hiện ra, nhận ra
discovery (n) /dis'kʌvəri/	sự khám phá, sự tìm ra, sự phát hiện ra
